标题,链接,价格,作者,出版时间,评论数,简介
PYthon从入门到精通 王征，李晓波 著 9787113264154,http://product.dangdang.com/1727240772.html,¥65.33,王征，李晓波 著,2020/1/1,0,※附赠本书课件讲义PPT、源代码、教学视频 n n 深入讲解Python编程的GUI程序设计、海龟绘图、Canvas控件绘图、Numpy包、Pandas包、Matplotlib包、机器学习、语音识别、启发式搜索、计算机视觉、数据库开发、游戏开发、网络爬虫开发等。 n 理论知识+图示讲解，轻松掌握Python编程技术 n 快速帮助读者理解与变通应用，全面提升内容的深度与广度。
Python核心编程 第3版 英文版 [美] 卫斯理 春(Wesley Chun) 人民邮电出版社 9787115413 正版现货，下单速发.FX,http://product.dangdang.com/1749496397.html,¥94.10,[美] 卫斯理 春(Wesley Chun),2016/3/1,0,全面涵盖当今应用开发中的众多领域为中级Python开发人员提供实践方法涵盖大量实用的代码案例每章末尾的习题有助于巩固所学知识Python是一种灵活、可靠且具有表现力的编程语言，它将编译语言的强大与脚本语言的简洁性、快速开发特性整合起来。在本书中，Python开发人员兼企业培训师Wesley Chun会帮助您将Python技能提升到更高的水平。本书涵盖了成为一名技术全面的Python开发人员所需的一切内容。本书讲解了应用开发相关的多个领域，而且书中的内容可以立即应用到项目开发中。此外，本书还包含了一些使用Python 2和Python 3编写的代码案例，以及一些代码移植技巧。有些代码片段甚至无须修改就可以运行在Python 2.x或Python 3.x上。本书讲解了如下内容：学习专业的Python风格、实践以及好的编程习惯；使用TCP、UDP、XML-RPC来开发客户端和服务器，并供高级的库（比如SocketS
"Python从入门到项目实践 软件开发魔典 聚慕课教育研发中心,聚慕课教育研发中心 清华大学出版社 正版书籍，放心下单！",http://product.dangdang.com/1657391683.html,¥48.00,"聚慕课教育研发中心,聚慕课教育研发中心",2019/11/1,0,读者对象： 《Python从入门到项目实践（超值版）》适合Python入门者，也适合Python数据库管理员以及想全面学习 Python数据库技术以提升实战技能的人员阅读，还可作为正在进行软件专业毕业设计的学生以及大专院校和培训学校 的参考用书。 ★★学网课、练题库、测水平，微信、手机、网站多维模式信手拈来。 ★★同步视频、案例源码、教学课件、海量资源、代码纠错器、在线课程一样都不少。 ★★微信公众号、QQ群、教学网站等多渠道互动服务读者。 ★★600套毕业答辩模板库、400道求职常见面试（笔试）真题与解析、293节同步微视频、100套求职简历模板库、100 个案例资源库、40套Python项目案例库、5个项目开发策划案、6套电子书资源库。 ★★提供教学资源库、求职资源库、面试资源库、笔试题库、职业发展资源库、案例资源库、项目资源库、软件开
Python程序设计基础 原书第4版 (美)托尼・加迪斯(Tony Gaddis) 9787111611745 机械工业 正版书籍，放心下单！,http://product.dangdang.com/1668858203.html,¥267.00,(美)托尼・加迪斯(Tony Gaddis),2019/1/1,0,
Python核心编程从入门到开发实战(博文视点出品) 朱红庆 电子工业出版社 新书店购书无忧有保障！,http://product.dangdang.com/1684412408.html,¥76.00,朱红庆,2020/1/1,0,适读人群 ：适合具有一定基础知识希望在开发专业性及项目实战能力大幅提升的深造者，也可作为大、中、高职院校高新热门专业的配套教材，同时也可以作为软件开发爱好者的自学用书及相关编程人员参考用书。 本书是针对零基础编程学习者的 Python 核心功能的入门教程。精选Python核心功能讲解，通过精炼的语言和200多个真实的案例，详细介绍使用 Python语言常用库、数据结构、可视化编程等知识和技术，并在最后通过交互式游戏、智能机器人、人工智能和数据可视化4个大型案例综合运用中帮助读者快速掌握实际开发流程。书中涉及的程序代码给出了详细的注释，让用户掌握 Python 程序开发的精髓，提高数据库管理技能。
Python机器学习基础教程 Python机器学习算法教程书籍 Python语言编程 Python模型评估和调参管道概念,http://product.dangdang.com/1554886235.html,¥74.00,无,2019/11/4,0,
Python机器学习 (美)塞巴斯蒂安・拉什卡 东南大学出版社 9787564170776,http://product.dangdang.com/1748628956.html,¥31.23,(美)塞巴斯蒂安・拉什卡,2017/5/1,0,
Python 3程序开发指南 第2版 修订版 python从入门到实践教程计算机与互联网教材python编程基础教程程序,http://product.dangdang.com/1598700898.html,¥69.90,[美]萨默菲尔德（Mark Summerfie,2010/1/1,0,
"[正版现货]Python网络编程,赵宏,包广斌,马栋林,清华大学出版社,9787302504832 正版保证 闪电发货 够件包邮",http://product.dangdang.com/1765615613.html,¥32.50,"赵宏,包广斌,马栋林",2018/10/1,0,《Linux网络编程(Python)》立足开源Linux系统，选用系统运维的常用语言Python阐述TCP/IP协议簇、Socket等编程原理，讲解并例示HTTP、FTP、E-mail、Web APP、Web框架等系统运维实例，并结合多线程和数据库技术完善与增强应用实例的功能。本书全部代码可在GITHUB下载。
Python可以这样学 董付国清华大学出版社 9787302456469[ZGTSW] 正版现货，有问题请联系在线客服！,http://product.dangdang.com/1730899932.html,¥32.86,董付国,2017/2/1,0,信息量大、案例丰富、实用性强。全书包含近200个案例和上千段代码，涉及Python基本语法和数据类型，以及GUI、网络应用、数据库、密码学、科学计算与可视化、大数据、图形图像处理等多个领域的开发，书中一些代码进行简单拼凑就可以满足实际工作中需要的很多功能。
Python机器学习经典实例 [美] 普拉提克・乔西（Prateek Joshi） 著；陶俊杰，陈小莉 译 978711 [正版现货，可开发票，发货特快，售后无忧],http://product.dangdang.com/1799177834.html,¥37.25,[美] 普拉提克・乔西（Prateek Joshi） 著；陶,2017/8/1,0,用火的Python语言、通过各种各样的机器学习算法来解决实际问题！
Python 新手学Django 2.0架站的16堂课 何敏煌，林亮昀 著 清华大学出版社 9787302523321 书籍因批量采集上架，套装书籍默认是其中一本。,http://product.dangdang.com/1790978591.html,¥87.30,何敏煌，林亮昀 著,2019/3/1,0,1. 快速建立一个实用的Django网站（第1~3堂课） 以一个小型的个人博客网站为主轴，介绍如何建立网站开发环境、如何规划网站需求以及设计数据库的内容、快速建立页面输出模板以及数据库的存取，*后学习如何把制作好的网站部署到受欢迎的各种主机上。 2. Django架构深入剖析（第4~7堂课） 详细分析Django的MVC架构。首先做一个完整且简要的介绍，接着分别就网址如何对应、如何设计模板、Model和数据库之间的关系等内容进行深入的阐述。 3. 实用网站开发技巧（第8~11堂课） 介绍特色网站所需要使用的技巧，包括如何快速建立窗体以及窗体与数据库的自动结合，活用网站Session以及用户验证技巧，快速建立可以让用户通过电子邮件自行注册的会员网站，连接到Facebook进行验证账号的实践，以及建立结合社交网站账号注册及验证的全方位会员网站。 4. 实用网站开发教
Python+Spark 2 0+Hadoop机器学习与大数据实战 林大贵 9787302490739 清华大学出版社 正版图书，提供电子发票，正常情况下48小时内发出，支持全国配送，有任何问题联系在线客服！,http://product.dangdang.com/1728775887.html,¥79.58,林大贵,2017/12/1,0,适读人群 ：正在学习大数据理论和技术的人员作为上机实践用的教材 1.Hadoop集群安装与分散式运算和存储介绍 通过实机操作，学会如何安装Virtual Box、Ubuntu Linux、Hadoop单机与多台机器集群安装，并学会使用HDFS分散式存储与MapReduce分散式运算。 2.PythoSpark 2.0安装 通过实机操作，学会安装Spark 2.0，并在本机与多台机器集群执行PythoSpark应用程序。同时介绍如何在iPythoNotebook互动界面执行PythoSpark指令。安装eclipse整合开发界面，开发PythoSpark应用程序，大幅提升程序开发生产力。 3.PythoSpark SQL、DataFrame数据统计与数据可视化 Spark SQL 即使非程序设计人员，只需要懂得SQL语法，就可以使用。DataFrame API 可使用类SQL的方法，如select()、groupby()、count()，很容易进行统计，大幅降低大数据分析的学习门槛。Spark DataFrame可转换为Pandas DataFrame，运用Python丰富的数据
PYthon 入门经典 【正版书籍，有问题请随时联系在线客服】(支持7天无理由退货！！),http://product.dangdang.com/1719808832.html,¥62.70,"(美)潘曲,尹鲍德",2012/8/1,0,Python是一种功能强大的脚本编程语言，简洁而优雅，且易于入门，计算机专业人士和非专业人士都能快速入门。在理论方面，《Python入门经典：以解决计算问题为导向的Python编程实践》从计算接科学和教学的角度来组织和规划全书的内容，针对编程初学者的需求，对Python编程相关的知识进行了系统的讲解。在实例方面，本书以数据的处理和分析为主题，强调编程的基础和实践，通过大量案例全面阐释了Python的特性和用法。通过学习本书，读者不仅能掌握Python开发的相关知识，还能具备在实践中运用Python解决实际问题的能力。本书的两位作者潘曲、尹鲍德具有近30年的大学计算机教学与实践经验。
PYTHON 语言构建机器学习系统(第2版)(*版) Luis 收藏店铺 快速发货 大秦书店经营范围：正版纸质书，电子出版物，开具发票。欢迎光临！,http://product.dangdang.com/1674723157.html,¥37.40,Luis,2016/1/1,0,
Python大战机器学习：数据科学家的第一个小目标 【关注有礼，评价有礼，满额减】 本店套装书籍因批量采集原因导致数据有误，均为其中一本书籍，随机发货，如有问题请联系在线客服,http://product.dangdang.com/1791104201.html,¥28.80,华校专，王正林 著,2017/2/1,0,
Python程序设计 第3版 [美] 约翰・策勒 (John Zelle) 9787115283252 人民邮电出版社 正版图书，提供电子发票，正常情况下48小时内发出，支持全国配送，有任何问题联系在线客服！,http://product.dangdang.com/1728633077.html,¥56.12,[美] 约翰・策勒 (John Zelle),2018/1/1,0,本书具有以下特点：● 广泛使用计算机图形学――本书提供一个简单的图形软件包graphics.py作为示例。● 生动有趣的例子――本书包含了完整的编程示例来解决实际问题。● 亲切自然的行文――以自然的叙事风格介绍了重要的计算机科学概念。● 灵活的螺旋式学习过程――简单地呈现概念，逐渐介绍新的思想，章节末加以巩固强化。● 时机恰好地介绍对象――本书既不是严格的“早讲对象”，也不是“晚讲对象”，而是在命令式编程的基础上简要地介绍了对象概念。● 提供丰富的教学素材――提供了大量的章末习题。还提供代码示例和教学PPT下载。本书以Python语言为工具教授计算机程序设计。本书强调解决问题、设计和编程是计算机科学的核心技能。本书特色鲜明、示例生动有趣、内容易读易学，适合Python入门程序员阅读，也适合高校计算机专业的教师和学生
【全新直发】Python数据科学入门 (俄)德米特里・齐诺维耶夫(Dmitry Zinoviev) 著;熊子源 译 【正版图书】Python数据处理 快速掌握数据采集与清洗 数据分析 机器学习等数据科学领域常见任务和工具 用Python轻松解决数据科学问题,http://product.dangdang.com/1575049038.html,¥50.39,德米特里・齐诺维耶夫,2017/11/1,0,
Python程序设计入门到实战 何敏煌清华大学出版社 9787302455967 正版现货，有问题请联系在线客服！,http://product.dangdang.com/1719382112.html,¥94.00,何敏煌,2017/1/1,0,台湾销售榜排名第一。作者是中国台湾交通大学信息科学所博士，有20年的学习及教学经验。
Python性能分析与优化 【达额减，评价有礼，关注有礼】 本店套装书籍因批量采集原因导致数据有误，均为其中一本书籍，随机发货，如有问题请联系在线客服,http://product.dangdang.com/1791150571.html,¥35.85,多格里奥（Fernando Doglio） 著，陶俊杰，陈小,2016/6/1,0,对于Python程序员来说，仅仅知道如何写代码是不够的，还要能够充分利用关键代码的处理能力。本书将讨论如何对Python代码进行性能分析，找出性能瓶颈，并通过不同的性能优化技术消除瓶颈。 n n 本书从基本的概念开始，循序渐进地介绍高级的优化主题。首先介绍了Python的主流性能分析器，以及用于帮助理解性能分析结果的可视化工具。然后介绍了通用的性能优化方法和专门针对Python的性能优化方法，带你浏览该语言的主要结构，让你只需做一点改变，即可迅速改善代码的性能。介绍了一些专门用于数据处理的程序库，教你如何正确地使用它们以获得杰出性能。 n n 如果你是一名Python开发者，想优化Python代码的性能，或是想进一步提升编程能力，那么本书非常适合你阅读。 n n 通过阅读本书，你将能够： n n 掌握逐步优化代码的方法，学会使用不同的性能分析工
"Python从入门到项目实践 软件开发魔典 聚慕课教育研发中心,聚慕课教育研发中心 9787302534693 清华大学 请注意售价高于定价，正常48小时内发货，提供发票，收到书籍后有任何问题联系在线客服或致电13581544457",http://product.dangdang.com/1658444533.html,¥75.55,"聚慕课教育研发中心,聚慕课教育研发中心",2019/11/1,0,读者对象： 《Python从入门到项目实践（超值版）》适合Python入门者，也适合Python数据库管理员以及想全面学习 Python数据库技术以提升实战技能的人员阅读，还可作为正在进行软件专业毕业设计的学生以及大专院校和培训学校 的参考用书。 ★★学网课、练题库、测水平，微信、手机、网站多维模式信手拈来。 ★★同步视频、案例源码、教学课件、海量资源、代码纠错器、在线课程一样都不少。 ★★微信公众号、QQ群、教学网站等多渠道互动服务读者。 ★★600套毕业答辩模板库、400道求职常见面试（笔试）真题与解析、293节同步微视频、100套求职简历模板库、100 个案例资源库、40套Python项目案例库、5个项目开发策划案、6套电子书资源库。 ★★提供教学资源库、求职资源库、面试资源库、笔试题库、职业发展资源库、案例资源库、项目资源库、软件开
【正版】Python开发实战人民邮电出版社9787115320896 正版保障 达额立减 闪电发货！,http://product.dangdang.com/1666058003.html,¥23.56,[日]BePROUD股份有限公司 著；盛荣 译,2000/1/1,0,
Python入门 (美)卢布诺维克 著 东南大学出版社 [正版书籍，下单速发，下单前请联系客服查询书籍库存],http://product.dangdang.com/1731433322.html,¥50.66,(美)卢布诺维克 著,2015/9/1,0,
Python基础教程 王欣，王文兵 著 9787115488251 人民邮电出版社 正版图书，提供电子发票，正常情况下48小时内发出，有任何问题联系在线客服！,http://product.dangdang.com/1670824427.html,¥44.00,王欣，王文兵 著,2018/8/1,0,（1）理论联系实际，强化计算思维能力培养。n 语言语法介绍以够用、实用和应用为原则，将Python语言的语法融入到问题求题中；从实际应用案例中抽取教学要素，重点强化模块化程序设计方法与基本算法的学习。全书从数据组织的维度介绍了基本数据类型以及数组、函数等在数据处理中的应用。让读者在学习的过程中潜移默化地提高计算思维能力。n （2）案例选取贴近生活，有助于提高学习兴趣。n （3）内容呈现直观、形象，知识点讲解深入浅出，通俗易懂。n （4）提供了丰富的辅助教学资源。提供的教学课件、教材源代码、实验案例、实验指导、习题解答、实验参考答案
Python Linux系统管理与自动化运维 Python Linux操作系统编程教程 架构框架设计程序设计开发实战训练 新华书店正版 编程语言 文轩网,http://product.dangdang.com/1697246493.html,¥84.76,赖明星,2020/8/15,0,
"【全新正版】Python 并行编程手册 [意大利] Giancarlo,Zaccone（詹卡洛 扎克尼）,张龙 9787",http://product.dangdang.com/1551306376.html,¥58.78,"[意大利] Giancarlo,Zaccone（詹卡洛 扎克尼）,张龙",2018/4/1,0,暂时没有内容
Python网络爬虫实战 胡松涛 9787302510086 清华大学出版社 【正版保证，可开发票，下单速发，优质售后】,http://product.dangdang.com/1764503857.html,¥74.00,胡松涛,2018/9/1,0,网络爬虫，又被称为网页蜘蛛、网络机器人，是一种按照一定的规则，自动地抓取互联网信息的程序或者脚本。很多站点，尤其是搜索引擎，都使用爬虫（它主要用于提供访问页面的一个副本）提供新的数据，然后，搜索引擎对得到的页面进行索引，以便快速访问。爬虫也可以用来在Web上自动执行一些任务，例如检查链接、确认HTML代码；还可以用来抓取网页上某种特定类型的信息，例如电子邮件地址（通常用于垃圾邮件）。因此，网络爬虫技术对互联网企业具有很大的应用价值。 本书从Pytho3.6.4基础的部分讲起，延伸到Python流行的应用方向之一 网络爬虫，讲解目前流行的几种Python爬虫框架，并给出详细示例，以帮助读者学习Python并开发出符合自己要求的网络爬虫。
"Python网络编程基础[美] 高森（John Goerzen）,莫迟 等9787121044953电子工业出版社 【保证正版，下单即发，提供发票】",http://product.dangdang.com/1559209221.html,¥67.00,"[美] 高森（John Goerzen）,莫迟 等",2007/6/1,0,Python网络编程*入门图书！ 175个完整实例，实践出真知，Sockets、DNS、Web Service、FTP、Email、SMTP、POP、IMAP、SocketServe、CGI、XML、Forking、数据库客户端、多线程、异步通信 完整涵盖网络编程的方方面面 亲爱的读者：Python语言非常流行的一个原因在于它方便而灵活的特性。使用Python编写网络程序同样是非常方便的，它可以无拘无束地访问操作系统的网络库，更不用说很多不同的模块了，它们可以实现诸如HTTP、FTP、SMTP、IMAP、DNS等完整的协议。无论您是要编写网络程序来和本地的机器通信，还是和远程的服务器通信，Python都是您需要的语言。为了使您能快速掌握Python网络编程，书中加入了大约175个示例程序
Python测试驱动开发 (美)珀西瓦尔 著 9787564159153 东南大学出版社 正版书籍，放心下单！,http://product.dangdang.com/1668852103.html,¥265.00,(美)珀西瓦尔 著,2015/9/1,0,
【正版现货】Python机器学习算法 赵志勇 著 电子工业出版社 9787121313196 请注意售价高于定价，正常48小时内发货，提供发票，收到书籍后有任何问题联系在线客服或致电13581544457,http://product.dangdang.com/1633561823.html,¥65.44,赵志勇 著,2017/6/1,0,探索数据的内在价值，洞悉人工智能背后的技术！
Python速查手册・基础卷 明日科技（MingRiSoft）著，明日科技 编 北京希望电子出版社 [正版书籍，下单速发，下单前请联系客服查询书籍库存],http://product.dangdang.com/1761250905.html,¥102.70,明日科技（MingRiSoft）著，明日科技 编,2020/5/1,0,
Python科学计算基础教程 [印] Hemant Kumar Mehta 著；陶俊杰，陈小莉 译 人民邮电出版社 书籍因批量采集上架，套装书籍默认是其中一本。,http://product.dangdang.com/1772709640.html,¥33.00,[印] Hemant Kumar Mehta 著；陶俊杰，陈,2016/10/1,0,全面阐述Python科学计算基础内容n 提供Python科学计算精彩案例n 总结科学计算的任务、难点以及杰出实践经验n 科学计算概况、结构n 使用NumPy和SciPy完成数值计算n 使用SymPy进行符号计算的概念和方法n 使用matplotlib画图程序库做数据可视化n 使用pandas、matplotlib和IPython组合做数据分析与可视化n Python的并行和高性能计算方法n 科学计算应用、库和工具的Python开发案例n 方案设计、代码编写、高性能计算等科学计算杰出实践n
Python科学计算 张若愚 清华大学出版社 【正版图书，电子发票，优质售后 下单请看详情】,http://product.dangdang.com/1782734994.html,¥66.00,张若愚,2011/12/1,0,历时三年，多次修订，精心编写而成 Enthought 公司 CEO EricJones 作序推荐
"Python 3程序开发指南(第2版 修订版)[美]萨默菲尔德,王弘博,孙传庆 新书店，多仓发货，购书无忧有保障！",http://product.dangdang.com/1574724912.html,¥51.40,"[美]萨默菲尔德,王弘博,孙传庆",2015/2/1,0,在《Python 3程序开发指南（第2版 修订版）》中，一流的Python程序员Mark Summerfield展示了如何充分利用Python 3的功能与特性来编写代码。与以前的版本相比，Python 3功能更强大，使用更方便，语法更一致，表达能力更丰富。本书将编写程序、使用标准或第三方Python 3库、创建新的专用库模块所必需的所有相关知识整合到了一起。 作为一名具有多年Python使用经验的程序员，Summerfield在本书中为读者深度分析与讲解了从其他途径无法获取的Python 3使用与开发技术。Summerfield从Python的“优美核心（beautiful heart）”（即编写高健壮性、高性能程序的8个关键要素）开始讲解，并以这些关键要素为基础，介绍了有助于增强程序开发实用技能的新主题，每个主题都包含其概念和多个操作实例。 《Python 3程序开发指南（第2版 修订版）》内容包括： 使用过程型、面向对象以及
Python金融数据分析 杰姆斯・马伟明（James，Ma，Weiming）著，高明 译 机械工业出版社 [正版书籍，下单速发，下单前请联系客服查询书籍库存],http://product.dangdang.com/1731422462.html,¥44.95,杰姆斯・马伟明（James，Ma，Weiming）著，高明,2018/4/1,0,
Python程序设计与算法基础教程第2版微课版 Python程序设计教程 第2版 2册 Python数据分析入门课程书,http://product.dangdang.com/1766215157.html,¥131.99,无,2020/10/31,0,
【正版包邮】 Python图形编程：2D和3D图像的创建,http://product.dangdang.com/1727169824.html,¥89.30,"B.J.科里特斯（B.J.Korites）,李铁萌",2020/4/1,0,适读人群 ：计算机图形学入门级读本。适合利用Python进图形图像编程的开发者阅读。 本书使用Python的内置特征创建用于数据可视化和技术说明的创新图形。从构建绘图空间和生成2维和3维对象的基本Python函数开始，你将学习如何构造更复杂的对象、转换和旋转、删除隐藏线、引入阴影以添加真实感以及将图像投影到任何数据集上。
python深度学习基于PYTorch 吴茂贵，郁明敏，杨本法，李涛，张粤磊 著 9787111637172,http://product.dangdang.com/1727342132.html,¥73.60,吴茂贵，郁明敏，杨本法，李涛，张粤磊 著,2019/11/1,0,适读人群 ：对机器学习、深度学习感兴趣的高校学生及在职人员。 对Python、PyTorch、TensorFlow等感兴趣，并希望进一步提升的高校学生及在职人员。 （1）核心作者在大数据和人工智能领域有着超过20年的工作经验，实战经验非常丰富，其他几位作者也在大数据和人工智能领域颇有造诣。 （2）作者团队之前还著有《深入理解Spark机器学习》、《Python深度学习：基于TensorFlow》、《自己动手做大数据系统》等畅销书。 （3）本书是《Python深度学习：基于TensorFlow》的姊妹篇。 （4）本书从工具使用、技术原理、算法实现、工程实践等维度全面、系统讲解了深度学习。 （5）本书在内容的选择、安排和表现形式上精心谋划，目的是确保高质量内容的同时，让深度学习的学习门槛大大降低。
Python文本分析 闫龙川高德荃李君婷 译 机械工业出版社 [正版书籍，下单速发，下单前请联系客服查询书籍库存],http://product.dangdang.com/1731457812.html,¥69.75,闫龙川高德荃李君婷 译,2018/5/1,0,
Python程序设计案例课堂 刘春茂、裴雨龙、展娜娜 正版现货，放心购买，请注意售价与定价，有任何问题及时联系在线客服!,http://product.dangdang.com/1723366826.html,¥34.00,刘春茂、裴雨龙、展娜娜,2017/10/1,0,
PYTHON3网络爬虫开发实战 崔庆才 人民邮电出版社 [正版书籍，下单速发，下单前请联系客服查询书籍库存],http://product.dangdang.com/1760207625.html,¥48.11,崔庆才,2018/4/1,0,案例丰富，注重实战 博客文章过百万的静觅大神力作 全面介绍了数据采集、数据存储、动态网站爬取、App爬取、验证码破解、模拟登录、代理使用、爬虫框架、分布式爬取等知识 涉及的库或工具：urllib、requests、Beautiful Soup、XPath、pyquery、redis-py、PyMongo、PyMySQL、Selenium、Splash、Charles、mitmproxy、mitmdump、Appium、pyspider、Scrapy、Scrapy-Redis、Scrapy-Splash、Docker、Bloom Filter、Gerapy等
"Python金融数据分析 杰姆斯・马伟明（James,Ma,Weiming）著,高明 正版现货，放心购买，请注意售价与定价，有任何问题及时联系在线客服!",http://product.dangdang.com/1723535096.html,¥68.00,"杰姆斯・马伟明（James,Ma,Weiming）著,高明",2018/4/1,0,
"Python少儿趣味编程,李强，李若瑜 著,人民邮电出版社【可开发票】 本店书籍 正版保证 有问题您可以联系在线客服 谢谢!",http://product.dangdang.com/1759937550.html,¥55.20,李强，李若瑜 著,2019/11/1,0,适读人群 ：任何想要学习Python或初次接触编程的人；Python语言的初学者、计算机专业的学生。尤其适合信息技术课教师或培训机构的老师以及青少年读者（初高中学生）阅读。 《Python少儿趣味编》由少儿编程畅销图书作者精心编写，是少儿学习Python编程的趣味指南，全书共17章，按照由简到难、逐步深入的方式组织各章内容。《Python少儿趣味编》精心选取内容，注重难易适度，语言通俗易懂，代码示例丰富。在每章的末尾，还给出了一些练习题并给出了解答。 《Python少儿趣味编》具有以下特色： ● 精心选取和组织内容，注重难易适度――涵盖基础知识、趣味应用和热门应用。 ● 坚持“做中学”的理念和方法――通过详细的示例和课后练习帮助读者学习和掌握。 ● 体现趣味性――用海龟给图绘制的机器猫、小猪佩奇等卡通角
"Python程序设计案例教程 徐光侠,常光辉,解绍词,黄德玲 人民邮电出版社 9787115452139 书籍因批量采集上架，套装书籍默认是其中一本。",http://product.dangdang.com/1793652731.html,¥41.90,"徐光侠,常光辉,解绍词,黄德玲",2017/5/1,0,（1）理论+案例：首先以简练的语言进行理论知识的讲解，很后配上丰富而实用的案例。（2）实用性强。书稿很后一章采用网络爬虫、数据处理和web开发3个综合案例，涵盖python很为常用的3个方面。（3）适合零基础读者，也适合从事大数据方向研究的读者使用
"Python数据分析从入门到精通 张啸宇 李静 9787121336133睿智启图书 正版保障,放心选购,配送及时,服务专业",http://product.dangdang.com/1754035486.html,¥44.90,张啸宇 李静,2018/2/1,0,一本书搞定Python数据分析四剑客：IPython、Numpy、Matplotlib、pandas 基于Python 3.6，兼容Python 3.x等众多版本 以多小代码案例、多动手的方式，使读者在实践中成长
"Python科学计算 [英]约翰・M.斯图尔特（JohnM.Stewart）,江红,余青 机械工业出版社 9787111 书籍因批量采集上架，套装书籍默认是其中一本。",http://product.dangdang.com/1791906881.html,¥100.00,"[英]约翰・M.斯图尔特（JohnM.Stewart）,江红",2019/8/1,0,
"【新华书店rt】Python基础教程(第2版・修订版),(挪)海特兰德,人民邮电出版社, 9787115353528",http://product.dangdang.com/1711016131.html,¥72.32,(挪)海特兰德,2014/6/1,0,本书是经典的Python入门教程，层次鲜明，结构严谨，内容翔实，特别是后几章，作者将前面讲述的内容应用到10个引人入胜的项目中，并以模板的形式介绍了项目的开发过程，手把手教授Python开发，让读者从项目中领略Python的真正魅力。 本书既适合初学者夯实基础，又能帮助Python程序员提升技能，即使是Python方面的技术专家，也能从书里找到耳目一新的内容。
Python语言及其应用python语言程序设计Python程序设计教程Python书籍python学习手册python,http://product.dangdang.com/1584110492.html,¥77.49,Bill Lubanovic,2010/1/1,0,
【新华书店】Python金融大数据分析 9787564183721 Yves，Hilpisch 著 东南大学出版社 正版现货 满5件包邮,http://product.dangdang.com/1669325890.html,¥139.27,Yves，Hilpisch 著,2019/6/1,0,
"Python数据处理,[美] 杰奎琳・凯泽尔(Jacqueline Kazil)凯,人民邮电出版社【正版】 为迎双十一来临，本店内下单满30减1 满50减3 满100减5 满200减10 优惠多多 欢迎抢购！",http://product.dangdang.com/1759924050.html,¥79.20,[美] 杰奎琳・凯泽尔(Jacqueline Kazil)凯,2017/6/1,0,用传统的电子表格来处理数据不仅效率低下，而且无法处理某些格式的数据，对于混乱或庞大的数据集更是束手无策。本书将教你如何利用语法简单、容易上手的Python轻松处理数据。作者通过循序渐进的练习，详细介绍如何有效地获取、清洗、分析与呈现数据，如何将数据处理过程自动化，如何安排文件编辑与清洗任务，如何处理更大的数据集，以及如何利用获取的数据来创作引人入胜的故事。学完本书，你的数据处理和分析能力将更上一层楼。* 快速了解Python基本语法、数据类型和语言概念* 概述数据的获取与存储方式* 清洗数据并格式化，以消除数据集中的重复值与错误* 学习何时对数据进行标准化，何时对数据清理进行测试并将其脚本化* 使用Scrapy写网络爬虫* 利用新的Python库和技术对数据集进行探索与分析* 使用Python解决方案将整个数据处理过程自动化
Python科学计算 张若愚 清华大学出版社 9787302273608 【正版现货 可开发票 下单即发】请看详情，有问题咨询在线客服或者电话联系我们！,http://product.dangdang.com/1705073914.html,¥98.00,张若愚,2011/12/1,0,历时三年，多次修订，精心编写而成 Enthought 公司 CEO EricJones 作序推荐
Python数据处理 [美] 杰奎琳・凯泽尔(Jacqueline Kazil)凯瑟琳贾缪尔(Katharine Jar 正版现货，下单速发.FX,http://product.dangdang.com/1749496187.html,¥94.10,[美] 杰奎琳・凯泽尔(Jacqueline Kazil)凯,2017/6/1,0,用传统的电子表格来处理数据不仅效率低下，而且无法处理某些格式的数据，对于混乱或庞大的数据集更是束手无策。本书将教你如何利用语法简单、容易上手的Python轻松处理数据。作者通过循序渐进的练习，详细介绍如何有效地获取、清洗、分析与呈现数据，如何将数据处理过程自动化，如何安排文件编辑与清洗任务，如何处理更大的数据集，以及如何利用获取的数据来创作引人入胜的故事。学完本书，你的数据处理和分析能力将更上一层楼。* 快速了解Python基本语法、数据类型和语言概念* 概述数据的获取与存储方式* 清洗数据并格式化，以消除数据集中的重复值与错误* 学习何时对数据进行标准化，何时对数据清理进行测试并将其脚本化* 使用Scrapy写网络爬虫* 利用新的Python库和技术对数据集进行探索与分析* 使用Python解决方案将整个数据处理过程自动化
Python文本分析,http://product.dangdang.com/1740021429.html,¥65.18,闫龙川高德荃李君婷 译,2018/5/1,0,
Python程序设计教程,http://product.dangdang.com/1609741615.html,¥39.84,储岳中 薛希玲 陶陶,2020/5/1,0,Python编程，从入门到实践，配套大量实验和案例，轻轻松松学Python！
PYTHON自动化测试实战 无涯 9787121357046,http://product.dangdang.com/1735638412.html,¥81.46,无涯,2019/3/1,0,适读人群 ：本书的讲解从简单到复杂，面向测试工程师， 以及向学习自动化测试的同仁，以及中级测试工程师。 作者本着在实践中学习，在学习中实践的思维模式，设计了每一个章节的例子，从实战中学，用Python实现UI自动化测试，用Python实现接口自动化测试，值得一读。
